"Bug ID","Summary","Severity"
1631847,"use timestamp field from crlite entries instead of filename to determine most recent filters/stashes","N/A"
1638006,"Removed missed piece of optional parser allocation deferal","N/A"
1635563,"Support kaios in 'mach xpcshell-test'","N/A"
1636946,"Optimize slot/element loads + MUnbox","N/A"
1638362,"Rename urlbar-go-end-cap l10n id to urlbar-go-button","N/A"
1634051,"Simplify all tabs menu code and only insert its DOM when it is opened","N/A"
1637748,"Optimize StringCharCodeAt in CacheIR","N/A"
1638163,"Reduce includes of GeckoContentController.h just for its enums","N/A"
1635233,"Create a remote settings bucket for allowing overriding specific search engines","N/A"
1637946,"Fold MUnbox with Int32 MBox input","N/A"
1638493,"Delete telemetry definition for WEAVE_CONFIGURED_MASTER_PASSWORD","N/A"
1638787,"Change JSRT fuzzing interface to return int32 and handle timeouts","N/A"
1638811,"Use replaceAll in EscapeAttributeValue","N/A"
1638460,"Warp: Support transpiling Calls to known natives","N/A"
1638761,"Transpile DoubleNegationResult","N/A"
1631858,"Ship v11.0.0 of webcompat system addon","N/A"
1635230,"Write documentation for allow overriding specific search engines according to an allowlist","N/A"
1636110,"Use a build optimizer for |mach try auto|","N/A"
1637396,"Harden loading the search configuration against failures","N/A"
1638066,"Stop setting toolkit.cosmeticAnimations.enabled in sessionstore tests","N/A"
1638124,"Add a NS_INLINE_DECL_THREADSAFE_REFCOUNTING_WITH_DESTROY","N/A"
1638790,"Optimize MathSqrt in CacheIR and Warp","N/A"
1638798,"Optimize generic unary Math functions in CacheIR and Warp","N/A"
1639037,"Optimize IntrinsicToString in CacheIR and Warp","N/A"
1634031,"Lazify the appmenu and extension notification panels","N/A"
1638067,"Stop setting toolkit.cosmeticAnimations.enabled in browser_console_webconsole_ctrlw_close_tab.js","N/A"
1635367,"Remove intervention for www.zertifikate.commerzbank.de for Android","N/A"
1634438,"Remove UA override for rolb.santanderbank.com for all platforms","N/A"
1633796,"Add an intervention for laposte.fr","N/A"
1636800,"Snapshot incoming scope information for Stencil","N/A"
1637712,"Consider to move *Ancestor* API to nsINode","N/A"
1638670,"Combine ScriptStencil / ScriptStencilBase / BCEScriptStencil","N/A"
1638327,"Rename urlbar-autocomplete.inc.css to urlbarView.inc.css","N/A"
1632439,"Make CallbackObject methods return JSObject pointers rather than handles","N/A"
1635231,"Implement allow overriding specific search engines according to an allowlist","N/A"
1636784,"Allow WebExtensions to clear cache and pluginData by hostname","N/A"
1639839,"Warp: Transpile JSOp::New","N/A"
1639898,"More cleanups of NaN in JS::Value","N/A"
1638908,"Uplift the en-US Windows reauthentication string to beta for limited testing while the feature is disabled by default","N/A"
1638682,"Enable the 'Open in Firefox' option in the Unknown Content Type dialog","N/A"
1546051,"Picture-in-picture switch displayed on Netflix previews","N/A"
1632535,"Pytest fixture isolation","N/A"
1637729,"Add a profiler marker for the number of picture cache tiles that are invalidated","N/A"
1639825,"Make it more obvious that the scrollDelta used for adjusting the displayport is the same as the callback transform","N/A"
1639958,"Add MakeUniqueForOverwrite helpers and some usages in Buffer.","N/A"
1635713,"Add explicit Histogram::SampleSet::Clone method","N/A"
1636991,"Add a comment about XPCWrappedNativeProto ownership","N/A"
1638139,"utilize crlite stashes (incremental diffs in crlite state)","N/A"
1640097,"Remove unused function nsHttpHandler::Get32BitsOfPseudoRandom()","N/A"
1636691,"Improve stack information for promises due to exception in then/catch handlers","N/A"
1639637,"Add Maybe method to move out contents leaving Nothing() behind","N/A"
1638470,"Move script-atoms from RuntimeScriptData to PrivateScriptData","N/A"
1638172,"avoid name hiding for handling multipart channel in HttpChannelChild","N/A"
1638993,"Convert 'mach test-info' to run with Python 3","N/A"
1640605,"Remove IsInAnonymousSubtree","N/A"
1640504,"Optimize more intrinsics in CacheIR and Warp","N/A"
1605176,"Clarify the remote type for cross origin/site iframe if both COOP and COEP headers are set","N/A"
1640581,"Warp: support >>> in the transpiler","N/A"
1639367,"Clean up some old TabContext code which is no longer relevant","N/A"
1640500,"Stop reporting toolkit.cosmeticAnimations.enabled in TelemetryEnvironment","N/A"
1612557,"Add 'Media' category for profiler label","N/A"
1635001,"Stop the APZ code from using ipc's MessageLoop and ipc::base::Thread","N/A"
1640572,"Add error boundary to EagerEvaluation component","N/A"
1638373,"Remove PJavaScript and everything else in js/ipc","N/A"
1640188,"Add a pref to guard Iterator Helpers features","N/A"
1640814,"Put the targetFront on each resource","N/A"
1640501,"Remove toolkit.cosmeticAnimations.enabled from all.js","N/A"
1635239,"Ensure telemetry is correct when an search engine is overriding the default","N/A"
1635984,"Define and implement Nightly UI experience for FPI users when dFPI is disabled","N/A"
1640527,"When re-enabling an add-on, recalculate if the engine is allowed to override the app-provided or not","N/A"
1640964,"Remove NS_ERROR_XPC_CANT_PASS_CPOW_TO_NATIVE","N/A"
1640967,"Remove cpows preferences","N/A"
1640974,"Remove unused --enable-cpow-warnings option","N/A"
1639464,"Optimize SIMD v8x16.shuffle in Ion x86_64","N/A"
1639517,"Optimize SIMD shifts in Ion x86_64","N/A"
1640977,"Tidy ArenaLists class definition","N/A"
1635235,"Implement reading the allow override search engine allowlist from remote settings","N/A"
1636927,"Find a way to test about:processes","N/A"
1640955,"Remove message manager usage from browser_clipboard.js","N/A"
1641091,"Remove some unused event target functions","N/A"
1641151,"Rename ResourceType to their singular counterpart","N/A"
1639468,"Incorrect documentation of authentication algorithms in telemetry","N/A"
1639475,"Incomplete documentation of key exchange algorithms in telemetry","N/A"
1637894,"[meta] Ship multi-value","N/A"
1639113,"Optimize Math.round in CacheIR and Warp","N/A"
1639534,"Optimize Math.floor in CacheIR and Warp","N/A"
1639806,"Optimize Math.ceil in CacheIR and Warp","N/A"
1635098,"Can't use nullish coalescing operator in newtab jsm code because it's built into unit tests with babel without support for that operator","N/A"
1641246,"Remove nsDisplayResolution","N/A"
1641297,"Optimize Array.isArray in CacheIR and Warp","N/A"
1640744,"Modernize and re-enable browser_notification_do_not_disturb.js","N/A"
1641031,"Implement cache-busting for getting the latest search configuration for searchengine-devtools","N/A"
1641610,"Add update handling for searchengine-devtools","N/A"
1638068,"Stop setting toolkit.cosmeticAnimations.enabled in extension tests","N/A"
1640476,"Warp: Transpile Function.prototype.call","N/A"
1641218,"Enable remote Canvas 2D in early Beta (and Nightly)","N/A"
1641289,"Remove unused steeplechase code","N/A"
1641419,"Defer JSFunction/BaseScript allocation in BinAST","N/A"
1641442,"Cleanup CompilationInfo::instantiateStencils and friends","N/A"
1636225,"Ship WebRender to more Intel in 78","N/A"
1601594,"Changes to allow for origin isolation","N/A"
1641090,"Use a better hash table for IDMap","N/A"
1639772,"Update jsparagus and use ImmutableScriptFlags directly","N/A"
1640927,"Can't upgrade glean_core because of miniz_sys weirdness.","N/A"
1639990,"Rename nsIPrintSettingsService's defaultPrinterName to lastUsedPrintersName","N/A"
1640306,"add about:pioneer MVP for enrolling in Pioneer v2 and associated studies","N/A"
1641708,"Optimize IsCallable/IsConstructor in CacheIR and Warp","N/A"
1641949,"Remove the rest of the hacky print prefs code introduced by bug 1276717","N/A"
1642167,"Refactor nsPrintJob::EnablePOsForPrinting to be understandable","N/A"
1642233,"Rename nsPrintObject's mDontPrint and IsPrintable for consistency with its EnablePrinting","N/A"
1636419,"There's no GC telemetry for mobile platforms","N/A"
1641257,"Clarify search engine overrides documentation regarding when overriddenBy is removed","N/A"
1641466,"Some CacheIR cleanups for lazy functions","N/A"
1642464,"Remove unused add search engine command handler from the searchbar","N/A"
1642619,"Remove the unused MessageChannel::Echo()","N/A"
1642162,"Remove nsPrintJob.cpp's MapContentToWebShells and MapContentForPO functions","N/A"
1642631,"Make the message argument to Channel::Send() a UniquePtr","N/A"
1613182,"Investigate dropping the option to wait on the region request","N/A"
1635038,"Clean up moz.configure dependencies for wasm-gc","N/A"
1642236,"Make all printing ""print as is"" printing","N/A"
1634709,"Update Triage Owner","N/A"
1634046,"Create browser-associated popups/panels for autoscroll / date-input / form-validation on an as-needed basis","N/A"
1642670,"Make ChannelImpl::output_queue_ use UniquePtr","N/A"
1641951,"Let WR font sanitization ride the trains","N/A"
1642593,"Optimize GuardToClass intrinsics in CacheIR and Warp","N/A"
1642738,"Make the MessageChannel Send and Call methods take a UniquePtr argument","N/A"
1643089,"Rename _secureInternalUIWhitelist to _secureInteralUIAllowList","N/A"
1643101,"Remove 'whitelist' from Form Autofill code","N/A"
1641396,"Add telemetry for the the about:logins menu items","N/A"
1643161,"Update Triage Owner","N/A"
1640587,"Optimize Math.pow in CacheIR and Warp","N/A"
1643082,"Optimize String.fromCharCode in CacheIR and Warp","N/A"
1643273,"Disable consistency check for opcodes, in SM non-unified job","N/A"
1641943,"Test that the Fx77 Windows signing key change doesn't prevent A/V software from reading logins.json","N/A"
1642610,"Optimize Math.random in CacheIR and Warp","N/A"
1643283,"Don't optimize certain cross-realm natives in CacheIR","N/A"
1639612,"Factor *Scope::Data structures into GC, Non-GC, and NamesList components.","N/A"
1643455,"Warp: Transpile Load(Double|BigInt)Result","N/A"
1640834,"Create a support page for XFO/CSP pages","N/A"
1639347,"Move the OS reauth logic in AboutLoginsParent to LoginHelper in toolkit","N/A"
1632303,"Replace search service logging with console.createInstance","N/A"
1642300,"Remove redundant entries from nsISearchService.idl","N/A"
1643135,"Warp: Transpile GuardSpecificSymbol","N/A"
1643239,"Refactor LoadInfo to support loading non-TYPE_DOCUMENT/TYPE_SUBDOCUMENT in DLL","N/A"
1643304,"Warp: fix try-catch support","N/A"
1643350,"MComputeThis should return an object instead of Value","N/A"
1641961,"jstest harness: shell-option() works in jstests.list but not in |reftest| lines, for wonderful reason","N/A"
1642680,"Share LRandom lowering code","N/A"
1642716,"Change scope BindingIter to be abstract on the type of atom","N/A"
1643044,"Use bumpalo 3.4.0","N/A"
1643486,"Warp: Transpile LoadDenseElementHole","N/A"
1643664,"Include delazification in profiler JS_Parsing marker category","N/A"
1633824,"[wpt-sync] Sync PR 23303 - bluetooth: implement writeValueWith[out]Response()","N/A"
1642328,"Marionette's print.printToFile takes a MozBrowser, not an nsIFrameLoader","N/A"
1643706,"Make WR tree printing more android-friendly","N/A"
1643818,"Remove kPaperSizeNativeData and kPaperSizeDefined","N/A"
1641616,"Move PopupNotifications.jsm to a component other than ""Password Manager""","N/A"
1635348,"Migrate browser.sync.storage data in a sensible way given quotas are not currently enforced.","N/A"
1643137,"Irregexp: Fix case-insensitive non-unicode backreferences","N/A"
1643954,"Optimize Object() in CacheIR and Warp","N/A"
1644015,"Optimize String() in CacheIR and Warp","N/A"
1636942,"Add an IC for JSOp::ToId","N/A"
1641789,"Make some CacheIR code work with numbers instead of just doubles","N/A"
1641140,"Implement iNxM.bitmask","N/A"
1642589,"Pull in wat version that can handle the SIMD .bitmask opcode","N/A"
1642909,"Avoid scalarizing i64x2.mul on x64/x86","N/A"
1643679,"Remove unused items around old 'searchplugins' directory","N/A"
1643171,"Add memory reporter for regexp Isolate","N/A"
1638711,"Run Document content security checks in the parent process","N/A"
1643681,"Optimize emscripten exploded constants as proper constants","N/A"
1643004,"Ensure we have dedicated / known tests for OpenSearch engines","N/A"
1643170,"Add memory reporter for HelperThreads::helperContexts_","N/A"
1644204,"Add state to EnvironmentAddonBuilder's shutdown blocker","N/A"
1644211,"Remove unused chrome.manifest/searchTest.jar files from Search and telemetry code.","N/A"
1644218,"Distinguish BaselineInterpreter samples in Profiler","N/A"
1638011,"Block WebRender in release on > 60Hz monitors","N/A"
1643650,"Refactor nursery collection","N/A"
1635523,"Twitter secondary search deprecation","N/A"
1644523,"Optimize UnsafeGetReservedSlot intrinsic in CacheIR and Warp","N/A"
1640294,"Clarify UsedNameTracker comment and add worked example","N/A"
1641632,"Deal with formatting of js.msg","N/A"
1642691,"Factor out a common method for implementing all init*IteratorProto functions","N/A"
1644377,"Add support for multiple versions of HTTP3","N/A"
1644590,"Add a fast path for atom regexps in PrepareAndExecuteRegExp","N/A"
1627688,"Add telemetry to the ""Find toolbar""","N/A"
1602372,"Trim recipient area keyboard focus ring (avoid unlimited recipient tab stops)","N/A"
1602567,"Reduce visual salience/noise of recipient delete buttons when pill isn't hovered, focused, or selected","N/A"
1610883,"Enter in rowInput should focus next rowInput before subject","N/A"
1629364,"Prevent whitespace-only value problem in recipient inputs: invisible space prevents pill navigation","N/A"
1634687,"Rename some address input event handlers","N/A"
1636393,"Polish ""Move to To/Cc/Bcc"" access key display","N/A"
1609977,"Implement tooltips for remove/delete buttons of each recipient input field/ addressing row, and streamline the confirmation alert","N/A"
1641517,"FinalizationRegistry cleanupSome method should not be present in the browser","N/A"
1644763,"Enable weak references by default in the JS shell","N/A"
1644797,"Add a WindowContext getter to Document","N/A"
1599634,"Handle AsmJS Parsing without allocating on the GC","N/A"
1635234,"FOG's C++ API Design","N/A"
1615917,"Allow incremental selection of recipient pills with Ctrl+A","N/A"
1632277,"Open Edge in a toolbar-less window when Edge is selected as opener of PDF","N/A"
1637816,"[wpt-sync] Sync PR 23583 - bluetooth: Impl. watchAdvertisements()","N/A"
1645113,"Don't sweep arenas that were allocated during marking","N/A"
136897,"Composition: Need ability to manipulate multiple recipients simultaneously (multiple selection of email addresses, e-mail contacts, delete, copy, toggle To/CC/Bcc etc.)","N/A"
1644878,"Map.prototype.entries receiver check error message needs improvement","N/A"
606886,"don't notify about added engines until we're done adding them","N/A"
1636984,"Add workarounds for ICU/CLDR issues with display names and append items","N/A"
1631791,"Renew or Remove extra async shutdown timeout annotations from bug 1631605 on or before 2020-06-21","N/A"
1643750,"Optimize Object.prototype.toString for primitives","N/A"
1644698,"Update ScriptStencil structs","N/A"
1645448,"Remove client-side code for handling FlexItemHighlighter","N/A"
1645464,"Use a single set of ProfilerCategory definitions","N/A"
1645469,"Add profiler sub-categories for SpiderMonkey JITs","N/A"
1642364,"Add a temporary solution for modal dialog centered alignment","N/A"
1631228,"Implement wasm SIMD for x64 Ion","N/A"
1645908,"Eliminate gratuitous use of dom::danger::GetJSContext() in ForceShrinkingGC()","N/A"
1644472,"Optimize some RegExp intrinsics in CacheIR and Warp","N/A"
1642058,"Add expiration date in card list view under Preferences","N/A"
1641412,"[Doorhanger V2] Collect all <input> values, pass to doorhanger","N/A"
1643653,"Document compiler selection","N/A"
1644425,"Math.{min,max} optimization slows down ToLength","N/A"
1644864,"Implement the labeled counter metric type for Project FOG","N/A"
1645618,"Improve the global sharing indicator for RTL","N/A"
1637529,"Rewrite shell module loader in C++","N/A"
1640829,"Generate more efficient code for fallible unbox","N/A"
1642391,"Rewrite _loadEngines to have a modern and legacy sections clearly split","N/A"
1635956,"Use Shmems instead of SharedMemory in WebGL remoting","N/A"
1645401,"Create mach command or wrapper to build SpiderMonkey with local jsparagus","N/A"
1641355,"Change AggregateError.errors to a data property on instances","N/A"
1645353,"Warp: use template objects for scripted constructor calls","N/A"
1642394,"Investigation: Review existing callers into the search service","N/A"
1630436,"[wpt-sync] Sync PR 22982 - Steams: update tests for Web IDL conversion","N/A"
1566307,"Error message for relative module URLs not very informative","N/A"
1646093,"Modify printing telemetry to add a PDF-catch-all for unknown printer names containing 'PDF'","N/A"
1645540,"Fix IpdlQueue handling of arguments with imprecise MinSize estimate","N/A"
1646484,"Remove nsIDocShell::forcedCharset","N/A"
1644424,"Constant fold SIMD reduction operators","N/A"
1645842,"Reverse-elfhack code in android xpcshell harness is no longer used","N/A"
1090374,"Convert MessageChannel::mLink to a UniquePtr","N/A"
1642952,"Try to avoid needing to have separate rebuild cache / load cache flows","N/A"
1643382,"[socket process] make sure we don't leak HttpBackgroundChannelChild and BackgroundDataBridgeChild","N/A"
1646035,"Warp: fix Uint32Array loads","N/A"
1640276,"Mark nsINode parameters as const in editor","N/A"
1646558,"Remove the old android ""native"" theme.","N/A"
1646664,"Optimize Math.fround in CacheIR and Warp","N/A"
1646374,"Ensure scroll restoration works properly with a visual viewport enabled","N/A"
1644442,"Send current region and attribution source as headers in the tile usage request","N/A"
1646150,"Remove unused webrtc sctp code","N/A"
1643468,"Use a different pref for search engine configuration experiments","N/A"
1646342,"Use StaticPrefs API to query dom.webshare.enabled preference","N/A"
1646752,"Treat BigInt property names as computed expressions in the parser","N/A"
1644287,"drop allow_unsafe_parent_loads from extension tests","N/A"
1609647,"Add ""Move to To/Cc/Bcc"" to recipient pill context menu","N/A"
1644421,"renew INTERMEDIATE_PRELOADING_* telemetry","N/A"
1637424,"Support generators in self-hosted code","N/A"
1641359,"Add Iterator.from method","N/A"
1643013,"Add eager Iterator Helper methods","N/A"
1640923,"Add Iterator constructor to global object","N/A"
1645295,"[wpt-sync] Sync PR 24130 - Set PictureInPictureWindow in leavepictureinpicture event","N/A"
1645439,"Add eager AsyncIterator helper methods","N/A"
1647242,"Tidy up and optimize some WarpOracle code","N/A"
1647795,"Remove some uses of ""blacklist"" from dom/ipc/","N/A"
1645845,"Add ParserAtoms representation and table implementation (preffed off)","N/A"
1646385,"Make sure the visual viewport is properly updated when layout scrollbars are added or removed","N/A"
1642715,"Activate media controller when media enters fullscreen","N/A"
1647238,"Replace Services.profiler.AddMarker with ChromeUtils.addProfilerMarker in browser/","N/A"
1636389,"Relocate deprecated seed algorithm","N/A"
1644534,"Add localization capabilities to FeatureGates","N/A"
1644538,"Add icon to sidebar menu for Experimental Features in about:preferences","N/A"
1644542,"Include experimental features in about:support","N/A"
1644625,"Populate the FeatureGates list with an initial set of features","N/A"
1644631,"Add a restart prompt if a restart-required=true FeatureGate preference is changed","N/A"
1643093,"Remove references to ""whitelist"" in browser/components/urlbar","N/A"
1646036,"Warp: fix repeated bailouts from redundant bounds check elimination","N/A"
1644639,"Add ability for FeatureGate descriptions to include links","N/A"
1634219,"Remove or update probes expiring in Firefox 78: pictureinpicture.*","N/A"
1647605,"add remoteType to nsIParentChannel","N/A"
1647728,"Unify kCharsetFromUserForced and kCharsetFromParentForced","N/A"
1647991,"Make wasmDis optionally return a string","N/A"
1646088,"Ensure content processes cannot shutdown during async process switches","N/A"
1648159,"Avoid unnecessary redirection of promises.","N/A"
1648336,"Stop migrating logins from SQLite to JSON via LoginImport.jsm","N/A"
1635258,"Enable modern search configuration on beta","N/A"
1635259,"Enable modern search configuration on release","N/A"
1648654,"Remove AutoObjectMapperFaultyLib","N/A"
1644537,"Use FeatureGates for templating the Experimental Features section","N/A"
1640107,"Warp: set implicitly-used flag correctly for unused IC inputs","N/A"
1646423,"Experimental features should be hidden if is-public resolves to false","N/A"
1647953,"DataSourceSurface::MappedSurface does not have a constructor and fails linting","N/A"
1647972,"Add a new PlatformOverride field onto BrowsingContext","N/A"
1648223,"Enable the Experimental Features section by default","N/A"
1648532,"Add support for HTTP3 draft 29 and draft 28","N/A"
1648617,"Extract `wineventlog` crate from updateagent for more general use","N/A"
1644535,"Add section to about:preferences for Experimental Features","N/A"
1648189,"[socket process] Perma Assertion failure: tqParent, at /builds/worker/checkouts/gecko/netwerk/protocol/http/HttpTransactionParent.cpp:173","N/A"
1644510,"Update credit card save doorhanger and content dropdown text","N/A"
1645083,"Remove or update probes expiring in Firefox 80: SESSION_RESUMPTION_WITH_*","N/A"
1648111,"Remove nightly/beta only warnings at the top of the search engine configuration documentation","N/A"
1649226,"Add Wycheproof ECDSA tests to NSS","N/A"
1647911,"Fix up ""Payload presented"" markers","N/A"
1648855,"osclientcerts: re-scan OS storage only when NSS is searching for all certificates/keys","N/A"
1649227,"Upgrade authenticator-rs to v0.2.13","N/A"
1647370,"Known JSClass analysis based on MIR","N/A"
1649357,"Clarify in telemetry API docs that only events flushed to storage are cleared","N/A"
1646481,"Stop using GetInProcessParentDocument in HTMLCanvasElement::RegisterFrameCaptureListener","N/A"
1646482,"Stop using GetInProcessParentDocument in HTMLFormElement::DoSecureToInsecureSubmitCheck","N/A"
1646531,"Open credit-card autofill pop-up when user clears a credit-card field","N/A"
1643032,"Enable the global sharing indicator with notification silencing by default on Nightly","N/A"
1637931,"Remove test functions from SearchService.idl","N/A"
1648838,"[macOS] Remove OS-specific sandboxing code for unsupported versions (up to 10.11 inclusive)","N/A"
1649381,"Add slow path for GuardSpecificAtom in Warp","N/A"
1649716,"Minor nursery improvements","N/A"
1648005,"Warp: handle the unreachable-OSR-loop case","N/A"
1641504,"Cranelift aarch64: support multi-values","N/A"
1633466,"Report usage of blocklist v3 to telemetry","N/A"
1642804,"The notification silencing checkbox does not appear for Private Browsing windows.","N/A"
1649201,"Make BailoutKind an enum class","N/A"
1635970,"XPath search isn't working for some expressions","N/A"
1647301,"Remove forceCharset from nsIContentViewer","N/A"
1649058,"MediaEngineDefaultVideoSource() will deadlock if used","N/A"
1649702,"Don't submit a SourceCompressionTask when shutdown","N/A"
1643606,"Remove remnants of the toolkit.cosmeticAnimations.enabled pref","N/A"
1643498,"Add better certificate failure errors","N/A"
1645502,"Request a security review on credit card autofill","N/A"
1649867,"Remove window IDs from event-counts in diffs","N/A"
1649887,"Move more handler code in HelperThread::handleWorkload into runTask()","N/A"
1649949,"Remove or update probes expiring in Firefox 81: GC_MARK_*","N/A"
1649950,"Remove or update probes expiring in Firefox 81: GC_PRETENURE_COUNT","N/A"
1649952,"Remove or update probes expiring in Firefox 81: GC_MARK_RATE","N/A"
1650068,"[socket process] reenable profiler tests","N/A"
1639945,"Add session cookies support for domains","N/A"
1645882,"Extra space in ""[F ]"" in tab tooltip","N/A"
1632790,"Develop an integration test for Firefox on Glean","N/A"
1649736,"Remove backwards compatibility checks for responsiveActor.setElementPickerState()","N/A"
1649900,"Update jsparagus for bug 1648005","N/A"
1649802,"Expose cookie sameSite=lax-by-default experimental feature","N/A"
1648858,"Move d3.js from devtools/ to third_party/","N/A"
1649670,"Perma linux toolchains bustage gecko/tools/profiler/core/ProfilerMarkerPayload.cpp:1150:1: error: control reaches end of non-void function [-Werror=return-type]","N/A"
1639246,"Ship weak refs","N/A"
1648850,"stderr & stdout are not inherited on Windows when mach is using python3 (since 3.7)","N/A"
1650359,"Move logic out of prim_store/mod.rs","N/A"
1650448,"Add `os.file.listDirRelativeToScript` to the JS shell.","N/A"
1648222,"Hide or show some default text in the Experimental Features section if there are no public experiments","N/A"
1650785,"Improve discoverability of geckoview streaming docs","N/A"
1642849,"Interrupt worklet thread JS on document unload","N/A"
1639795,"Use a friendlier name for the OSKeyStore Keychain item","N/A"
1630706,"Allow Atomics methods on ArrayBuffers","N/A"
1642325,"Exclude referrer policy from the preload hash key to workaround bug 1637671","N/A"
1650456,"Remove a couple of instances of my deadname","N/A"
1630434,"intermediate certificate preloading healer","N/A"
1643671,"Update FOG Preferences docs to include the data reporting pref","N/A"
1644252,"Clarify in code and docs that accumulations in GeckoViewStreamingTelemetry's SendBatch could deadlock","N/A"
1650393,"Add a base class with runTaskLocked method","N/A"
1650403,"Skip invisible primitive clusters after the visibility pass.","N/A"
1650792,"Remove unused definition of FinalizationIteratorObject","N/A"
1649518,"enable osclientcerts by default in nightly","N/A"
1637884,"Reference types: Ship it","N/A"
1648685,"[meta] Clean up wasm shared memory + atomics for production","N/A"
1644322,"Remove mozAddonManager permission from discovery.a.m.o","N/A"
1650950,"Rename blacklist, whitelist, and skiplist in the anti-tracking and url-classifier code","N/A"
1647752,"Update DTLS 1.3 to draft-38","N/A"
1644757,"Add unit test for interaction between extensions and the thumbnail service","N/A"
1527256,"[socket process] make about:networking work","N/A"
1643432,"Remove or update probes expiring in Firefox 80: STORAGE_ACCESS_API_UI","N/A"
1647438,"Remove nsIDOMWindowUtils.containerElement","N/A"
1648109,"Report pretty error messages from JSContentActor APIs","N/A"
1651178,"Ensure Private Methods aren't enabled early by accident","N/A"
1525561,"Fission: Audit / fix callers of GetToplevelContentDocumentPresContext","N/A"
1647320,"Make the search cache responsible for listening to notifications of changes, rather than being told about updates","N/A"
1637744,"Review SearchService.getEngineParams, move into SearchEngine","N/A"
1647786,"Enable non-proxy test262 tests for private fields","N/A"
1650756,"App-provided engines should use the engine configuration when they are updated","N/A"
1651345,"GC issue in jsshell with `addMarkObservers`","N/A"
1651489,"update neqo to 0.4.6","N/A"
1651618,"Use 'SameSite' (capital 'S') everywhere","N/A"
1651683,"Create an abstraction for sequential iteration of multiple iterators","N/A"
