"13669,""password data wrong if user types with 1 or more chars selected"",""critical""";;
"13915,""Unhandled exception when typing in a form"",""critical""";;
"10680,""Can't decode UTF-8 Japanese text in JS function"",""critical""";;
"13946,""Charset Detector """"japsm"""" keeps on repeating to detect even though there is a meta tag on the page"",""critical""";;
"15018,""Selecting broken OBJECT crashes browser..."",""critical""";;
"14303,""Select bustage: cut or delete error leads to option used before set error"",""critical""";;
"15152,""nsBlockFrame optimization causes option elements to display incorrectly"",""critical""";;
"13566,""Missing </OPTION> before <OPTGROUP> locks up parser"",""critical""";;
"15659,""[PP] Linux - combo boxes: can't select an item anymore"",""critical""";;
"13269,""null pointer read in nsDll::Load()"",""critical""";;
"13268,""free memory read in nsDll::IsLoaded()"",""critical""";;
"14130,""DLLs unloaded prematurely (aka xpcom trapeze act!)"",""critical""";;
"16652,""crash launching browser from editor using task menu"",""critical""";;
"6372,""Printing ends in a core dump..."",""critical""";;
"13903,""combo box only works once"",""critical""";;
"16707,""M10 Apprunner/Viewer cannot read XML-document from W3C"",""critical""";;
"14159,""Table width renders incorrectly"",""critical""";;
"15630,""[CRASH] Wonko.com main table shown twice"",""critical""";;
"17585,""if.cpp does not compile with the Sun workshop 4.2 compiler"",""critical""";;
"17164,""[DOGFOOD]right-click within text input or textarea causes crash"",""critical""";;
"8266,""[PP] bottom scroll arrow is hidden in chromeless browser window"",""critical""";;
"17763,""Scrolling down with Down-arrow crashes"",""critical""";;
"13960,""[DOGFOOD] bugzilla platform dropdowns set themselves"",""critical""";;
"14503,""setInterval causes crash when fired"",""critical""";;
"17148,""[CRASH] Closing some tags in tbody causes crash."",""critical""";;
"18544,""[mlk] nsGfxTextControlFrame::Reflow() clobbers mDisplayFrame"",""critical""";;
"12958,""[CRASH]select text with first-letter behaves oddly"",""critical""";;
"2564,""[DOGFOOD] [PP] Scrolling a long document yields text overwriting itself"",""critical""";;
"15776,""Compilation errors with some gcc versions"",""critical""";;
"17965,""crash in laying out this page"",""critical""";;
"17852,""Previous crasher in nsListControlFrame::GetSelect"",""critical""";;
"17546,""CSS page causes browser to fail"",""critical""";;
"13601,""Alpha/Linux: apprunner: GTK callbacks don't work at all."",""critical""";;
"17375,""page fails to load and browser crashes"",""critical""";;
"14237,""Crash when clicking pop-up menu options in Bookmarks"",""critical""";;
"13144,""Crash when passing functions (!) to JS DOM API:s (I think!)..."",""critical""";;
"17045,""Mozilla freezes loading page"",""critical""";;
"13730,""[CRASH]crashing in layout when putting HTML into an iframe"",""critical""";;
"16724,""[CRASH] in nsRange using DOM viewer"",""critical""";;
"18328,""[DOGFOOD]CRASH Clicking on """"Personal Options"""" at this BofA site"",""critical""";;
"19394,""[DOGFOOD][talkback] top 1 in M11. - crash in il_image_abort 3815b27f"",""critical""";;
"8193,""Can't build on FreeBSD: os-ip.c can't find """"poll.h"""""",""critical""";;
"18905,""[CRASH] Pressing ENTER key crashes browser"",""critical""";;
"20042,""[DOGFOOD][BLOCKER]crash on www.netscape.com"",""critical""";;
"19316,""[CRASH][DOGFOOD] crash on Print mail message"",""critical""";;
"4290,""MLK: 40 bytes leaked-  nsRegionGTK from nsViewManager"",""critical""";;
"19736,""[DOGFOOD] Die and exit in nsBoxInfo destructor"",""critical""";;
"19031,""crash when image is truncated or corrupt"",""critical""";;
"18230,""[DOGFOOD] Assertion thrown when clicking in the editor."",""critical""";;
"17645,""[dogfood]cookie problems at the New York Times"",""critical""";;
"20712,""[PP]Dogfood: Crash after print attempt"",""critical""";;
"19469,""[DOGFOOD] Crash trying to read netcenter web mail using 11/20 build"",""critical""";;
"21187,""[dogfood] webshells in text controls leaked"",""critical""";;
"20689,""Double notifications from content sink"",""critical""";;
"19382,""[DOGFOOD]Some absolutely positioned form elements cause M11 to crash"",""critical""";;
"19148,""[CRASH][PP][DOGFOOD] Printing crashes on Mac"",""critical""";;
"6096,""NECKO: Crashes mozilla-apprunner when encountering location.href=...."",""critical""";;
"4018,""NECKO: [PP] Crash with object tag on Linux"",""critical""";;
"8855,""crash every time accessing this URL"",""critical""";;
"8424,""NECKO: [PP] Crash loading Scopus - Mac Only"",""critical""";;
"6017,""NECKO: apprunner fails assert() in network/main/mkgeturl.c with this URL!"",""critical""";;
"10273,""NECKO: about:blank as linked stylesheet causes crash"",""critical""";;
"8382,""Freeze with unconfigured proxy"",""critical""";;
"5884,""NECKO: crash going to netcenter's small business page"",""critical""";;
"5347,""Page crashes when URL entered without trailing slash"",""critical""";;
"3566,""MLK:  Timers leaking"",""critical""";;
"7843,""NECKO: Mozilla cannot always open Wired.com's """"Today's Headlines"""" links."",""critical""";;
"8410,""[BLOCKER] loading about:blank causes hang"",""critical""";;
"20477,""[DOGFOOD] http cookies not working on linux release builds"",""critical""";;
"10843,""[NECKO] crashing on bad URL's"",""critical""";;
"10790,""url """"macfixit"""" crashes browser"",""critical""";;
"13477,""MLK: HTTP Channel or Request?"",""critical""";;
"14369,""[CRASH] failed to get the HTTP Proxy server"",""critical""";;
"20591,""Dogfood: memory corruption in box layout"",""critical""";;
"17919,""plevent queue priority is now too low"",""critical""";;
"21397,""[dogfood] crash closing multiple windows using Ctrl-W"",""critical""";;
"21178,""[PP][DOGFOOD][REGRESSION]Printing causes a crash"",""critical""";;
"18382,""[CRASHER][TESTCASE] Accesing FileUpload value is crashing application."",""critical""";;
"19607,""[dogfood][CRASHER]Crash when clicking on (Browse...) in file upload form element"",""critical""";;
"21197,""[dogfood] Cookies register o.k., but too late for browser to recognize? (asynch/cookie issue?)"",""critical""";;
"18692,""Fix xptcall code"",""critical""";;
"14775,""[PP][BLOCKER] Crash removing delete observer when closing windows"",""critical""";;
"14782,""[dogfood] mousing over links causes massive reflows when status button crops"",""critical""";;
"17146,""[Tree] Assertion in nsTableRowFrame::SetRowIndex(-1)"",""critical""";;
"21602,""[DOGFOOD] ^V in the urlbar pastes twice: key events not cancelled"",""critical""";;
"11005,""Crash in XP menu code"",""critical""";;
"17252,""GTK: fontHandle is NULL"",""critical""";;
"22289,""Crash when open the Link properties dialog at 2nd time"",""critical""";;
"22302,""Mozilla freezes, locks up, sometimes crashes"",""critical""";;
"21660,""Memory cache: browser buster crashes after 7 or 8 pages"",""critical""";;
"22360,""Customize, Cancel, Click-bookmarks, crash."",""critical""";;
"19494,""CRASH on page with missing glyphs, form, floats..."",""critical""";;
"22726,""Crash on page with css2 style sheet selector"",""critical""";;
"20164,""Crash when starting CookieViewer"",""critical""";;
"10384,""invalid host specified: the request did not specify a valid virtual host"",""critical""";;
"23139,""Table of links is always selecting the first link."",""critical""";;
"22228,""crash after changing focus from browser with this page loaded"",""critical""";;
"21591,""nsIFileSpec::FromFileSpec assumes incoming pointer is nsIFileSpecImpl"",""critical""";;
"20519,""[dogfood] key events getting through to editor key listener (symptom = control-v pastes text twice in HTML text controls)"",""critical""";;
"6992,""Can't find content viewer for text/html on Win98"",""critical""";;
"18780,""Crash"",""critical""";;
"21581,""[crash] during startup after clicking stop button"",""critical""";;
"20335,""Debug:XPToolkit submenu items do not load into browser window"",""critical""";;
"21599,""mozilla crashes in MSVCRT.DLL on http://www.iconics.co.uk"",""critical""";;
"22024,""Crash at www.jeremie.com (NS_NewStyleContext ?)"",""critical""";;
"20902,""File Selection Dialog causing crash later on exit"",""critical""";;
"20106,""[DOGFOOD] caret dissapears after some edit operations, especially after return"",""critical""";;
"18204,""{css2} CRASH with border-collapse:collapse and more cells in later rows"",""critical""";;
"19061,""Raptor crashes when rendering table with thead/tfoot/tbody"",""critical""";;
"23020,""src property of javascript image object not setting properly"",""critical""";;
"17932,""[PP] Crash navigating thru Back & Forward button"",""critical""";;
"18265,""[Print Fail CRASH] Printing a object that contains alternative text will crash"",""critical""";;
"21405,""Can not see Font and Heading pull down menus on chrome"",""critical""";;
"22577,""[Dogfood]Crash going to Bugsplat URL after fresh Seamonkey launch"",""critical""";;
"14206,""[Webshell] [top100] Crash-Printing large complex page"",""critical""";;
"20645,""[top100][dogfood] www.developer.com is crashing"",""critical""";;
"19581,""Crash in SinkContext destructor when loading this page..."",""critical""";;
"20937,""Crash in nsHTMLContentSink loading attached page"",""critical""";;
"22649,""M12: browser crash on loading URL"",""critical""";;
"24157,""crash going to URL"",""critical""";;
"21302,""[CRASH] fox news, followed by another page crashes"",""critical""";;
"21884,""[dogfood] crash visiting various websites in the image / networking code"",""critical""";;
"23652,""Focus-related crash dismissing password dialog with return key"",""critical""";;
"22594,""[dogfood] JavaScript escape() is incompatable w/ 4.x"",""critical""";;
"7301,""crash in layout with <box>, onload handler and <html:label>"",""critical""";;
"10016,""[PP] [DOGFOOD] Tooltips crash on linux"",""critical""";;
"22453,""Crash on accessing file:// urls for nonexistant and unknown-mimetype files"",""critical""";;
"24452,""assert and crash in search window (nsCachedChromeChannel::GetOwner)"",""critical""";;
"23315,""top100 Browser crash on yahoo mail.  seems reproducable"",""critical""";;
"19330,""NSPR is broken for FreeBSD"",""critical""";;
"24673,""Crash at given URL on dead.net"",""critical""";;
"20797,""Crashes when viewing CNN Headline News Mail"",""critical""";;
"25550,""NS_NewLocalFile must be exported."",""critical""";;
"16286,""Assertion when selecting a text styled with pseudo content"",""critical""";;
"24260,""[DOGFOOD] Copy text to clipboard, quit app, crash"",""critical""";;
"19983,""Anchor Link not working inside Label element"",""critical""";;
"24401,""file:/// causes the browser to crash"",""critical""";;
"22531,""Regression - iframe content garbled"",""critical""";;
"20907,""[PP]Solaris: Crash clicking OK in File Dialog w/ no selection"",""critical""";;
"25509,""Getting full log from tinderbox causes mozilla to hang"",""critical""";;
"26351,""Access violation in nsImageRender.cpp"",""critical""";;
"25624,""2000012808 submitting first, not SELECTED item in <SELECT>"",""critical""";;
"17382,""missing forward slash in URL will not load"",""critical""";;
"19941,""can't drag url from outside app into content area, then crash"",""critical""";;
"12722,""[DOGFOOD].test9 crashes"",""critical""";;
"20132,""Crash in JavaScript open()"",""critical""";;
"17103,""[BETA] Using Russian Detector and visiting the URL leads to a crash"",""critical""";;
"5348,""HP-UX build bustage in nsFileSpec"",""critical""";;
"16646,""[DOGFOOD] Browser crashes after starting an application/zip download"",""critical""";;
"24051,""Modifying password field sometimes drops first character"",""critical""";;
"26252,""[PP] Crash-At launch Mozilla after setenv LANG to ja_JP.EUC"",""critical""";;
"18528,""Assertion: """"offset we got from binary search is messed up"""""",""critical""";;
"23521,""Scrolling thread pane in mailnews causes whole window to reflow"",""critical""";;
"21441,""Selecting Page Source under View menu leads to crash"",""critical""";;
"24201,""crash scrolling second window"",""critical""";;
"5534,""BLOCK: Large libpref string causes dialogs to crash on Linux"",""critical""";;
"3598,""apprunner needs to call nsIPref->Startup()"",""critical""";;
"27500,""sun's cc doesnt like comma at end of line in ntypes.h:59"",""critical""";;
"15674,""[DOGFOOD] Saving to a file loses content"",""critical""";;
"26708,""BSD: crash on startup in xptcall stuff"",""critical""";;
"21470,""[Print Fail] Printing bugzilla query results in assertion (would crash)"",""critical""";;
"25619,""onBlur crashes with Alerts and Prompts"",""critical""";;
"22301,""A crash occurs after hiding and showing navigation toolbar"",""critical""";;
"17981,""Need platform specific changes for PostScript printing"",""critical""";;
"24975,""stack corrupter in nsWindow.cpp"",""critical""";;
"15672,""App exit after XP menu usage, closing dialog with Ctrl-W."",""critical""";;
"24618,""nsSound::PlaySound crashes"",""critical""";;
"13978,""shopping at webvan.com gets JS error"",""critical""";;
"27498,""[Line Layout]Performance problem with list boxes at my.netscape.com weather"",""critical""";;
"25434,""Crashes during logon"",""critical""";;
"13905,""[MAC]combobox deactivates main window"",""critical""";;
"27253,""unable to do multiple selections within lists"",""critical""";;
"26955,""crash if launched with just 'mozilla -chrome'"",""critical""";;
"20471,""need to update commands whenever frame state changes in text control"",""critical""";;
"19933,""JavaScript """"window.location"""" core dumps in CAPS"",""critical""";;
"18153,""[CRASH] on http://www.dir.bg"",""critical""";;
"18013,""[DOGFOOD] Visiting an SSL site causes 5.0 to dump a core file."",""critical""";;
"26567,""crash going to my.netscape.com in viewer"",""critical""";;
"27282,""Crash at clicking the link of this page"",""critical""";;
"27776,""[FLOAT] [regression] initial layout of page is horrible, overlapping floaters"",""critical""";;
"24600,""crash in SinkContext::FlushText on URL from the BBC News"",""critical""";;
"24385,""crash in StripeTimer::Notify closing mail window while checking for new mail"",""critical""";;
"24442,""[CRASH] Crashed trying to do anything after viewing XML page"",""critical""";;
"13640,""MLK:8496 bytes leaked - XML parser?"",""critical""";;
"27419,""Mozilla crashes when running test scripts off internal server"",""critical""";;
"28084,""Mozzilla Crashs on www.zdnet.com"",""critical""";;
"28680,""Can't paste into edit text controls"",""critical""";;
"22428,""can't use mozilla to attach files to bugzilla"",""critical""";;
"28691,""Leaks checked into ControlFrame class"",""critical""";;
"26468,""Paste into editor no longer works"",""critical""";;
"27322,""Crash upon launching on Chinese Win 95"",""critical""";;
"5495,""[DOGFOOD] Can't use text selection to scroll in textarea"",""critical""";;
"25108,""File download is slow on MAC"",""critical""";;
"28283,""setting window.innerHeight crashes application."",""critical""";;
"23070,""[PERF] Tree control should restrict off-screen reflows to the scroll bar"",""critical""";;
"28444,""Free memory read: nsTimerGtk"",""critical""";;
"22092,""Reproducible mozilla crash on W95 build 1999121712"",""critical""";;
"25910,""[talkback] random but high hit crash in cache code?"",""critical""";;
"16879,""select.options.length should be read/write."",""critical""";;
"28341,""Animated image in a table caption"",""critical""";;
"29942,""MLK: We leak a lot of gtk_invisibles from nsLookAndFeel"",""critical""";;
"23777,""Failure to load frameset at http://members.xoom.com/*"",""critical""";;
"22140,""crash on page (not reproducable)"",""critical""";;
"30929,""Attempting to open a abcnews.com url will cause a crash."",""critical""";;
"1257,""crash"",""critical""";;
"1502,""ss:assertion in line layout"",""critical""";;
"2511,""List Item frames don't work in XML."",""critical""";;
"3262,""[BLOCKED-Ender] Crash in nsBlockFrame when trying to remove content"",""critical""";;
"4801,""UMR: nsLineLayout::ReflowFrame()"",""critical""";;
"4836,""UMR: nsBlockFrame::ComputeLineMaxElementSize()"",""critical""";;
"5501,""[CRASH] Apprunner crashes after second page load of www.real.com"",""critical""";;
"17636,""Browser crashes loading page"",""critical""";;
"1277,""static background/border bleed over top of float background and border"",""critical""";;
"2291,""{vmargin} MacWeek doesn't render correctly"",""critical""";;
"3172,""{feature} pre wrap cols=x doesn't wrap"",""critical""";;
"3354,""Float bug"",""critical""";;
"3872,""[4.xP] Problems with floated images and centered text"",""critical""";;
"4233,""{css1} line height calculations shouldn't consider text"",""critical""";;
"5238,""Image lacking src attribute yields a crash upon exit"",""critical""";;
"5381,""infinite loop printing WARNING: max-element-size"",""critical""";;
"6865,""{css1} Inline box model is not considering block-level parent's line-height"",""critical""";;
"14427,""memory overrun in PrepareUnicodeText"",""critical""";;
"17346,""nsTextFragment::ReleaseText() can free non-heap memory (CRASH)"",""critical""";;
"22467,""Mozilla Freezes on Slashdot in Moderator Mode"",""critical""";;
"18539,""abcnews.com crashes Nov-10-99 build"",""critical""";;
"23749,""Plain text display incorrectly for non ASCII"",""critical""";;
"29410,""crash in nsXULDocument::HandleDOMEvent"",""critical""";;
"7590,""Mozilla incorrectly interprets </SCRIPT*> within strings in JavaScript as a </SCRIPT> tag."",""critical""";;
"29477,""crash while processing redirect"",""critical""";;
"31072,""[regression] combo box not reporting real maxElementSize, badly messes up table layout on bugzilla"",""critical""";;
"30120,""Crash at closing Composer window in JA locale"",""critical""";;
"24344,""No longer crashes (Crash when displaying a list box)"",""critical""";;
"21556,""crash on SMP systems: socket transport in load group"",""critical""";;
"23239,""Content Area blinks when loaded and slows down the system"",""critical""";;
"30026,""browser crashes when loading this page"",""critical""";;
"2190,""[PP] NSPR building incorrectly on FreeBSD 3.0"",""critical""";;
"2133,""[PP]Jan25:Mac freezes waiting for data"",""critical""";;
"32022,""Problem loading JS ( see testcase )."",""critical""";;
"27953,""crash if I scroll caret through URL bar while loading page"",""critical""";;
"17849,""Table layout not consistantly rendering background images."",""critical""";;
"29052,""doc.open->doc.write->doc.close in onLoad handler casues crash"",""critical""";;
"32534,""Selection isn't drawn"",""critical""";;
"32320,""MLK: png images leak!"",""critical""";;
"30600,""[PP] Crash open link in new window then open another link in original window"",""critical""";;
"27962,""Memory Problem when printing."",""critical""";;
"32243,""UMR: nsFrame::GetDataForTableSelection()"",""critical""";;
"33929,""MLK: nsSocketTransport objects leak."",""critical""";;
"19036,""sun wkshop build bustage: non-NSPR boolean types in nsStorageStream.{h,cpp}"",""critical""";;
"20018,""[M11] Proxy passwd makes Mozilla crash"",""critical""";;
"24188,""SIGSEV after clicking on a Link on the CVS version."",""critical""";;
"25067,""Cookies not Recognized on developer.java.sun.com"",""critical""";;
"26563,""Solaris: Open File crashes"",""critical""";;
"34395,""MLK: Leaking nsByteArrayInputStreams and associated buffers from nsHTTPChunkConv"",""critical""";;
"15604,""startup crash in PrepareAndDispatch (solaris/native optimized)"",""critical""";;
"32523,""nsDocLoader broken on ALL 64 bit platforms."",""critical""";;
"28496,""Crash when closing dialog with open file picker dialog."",""critical""";;
"28553,""Table disappears when mouse over link (Unnecessary reframing for """"special"""" frames)"",""critical""";;
"33029,""crashed when loading the www.focus.de"",""critical""";;
"28965,""META tag with charset=windows-1252 crashes browser -- set by some MS web tools"",""critical""";;
"32375,""Crash assigning position: absolute to LABEL"",""critical""";;
"10597,""L10n dependencies in other groups - Convert HTML files into localizable XUL file"",""critical""";;
"24735,""Printing causes mozilla to crash"",""critical""";;
"18801,""[superwin] bugzilla query page looks terrible"",""critical""";;
"21375,""reproducable crash under Solaris"",""critical""";;
"23420,""scrolling a webshell when the window is partially obscured causes garbage"",""critical""";;
"32949,""[FIX]Absolutely positioned FORM element crashes app"",""critical""";;
"34765,""MLK: leaking nsSocketTransport objects when using HTTP pipelining"",""critical""";;
"28832,""Page load on Win98 is very slow."",""critical""";;
"33200,""Absolutely positioned LABEL element crashes app"",""critical""";;
"26881,""infinite recursion / stack overflow crash"",""critical""";;
"20677,""[CRASHER] Content with no document causes crash on reflow."",""critical""";;
"34217,""javascript: URI does not execute JS, clears window instead"",""critical""";;
"32785,""beta1 crashes on redirect at www.microsoft.com/support/"",""critical""";;
"33262,""Displays js source in frames"",""critical""";;
"24357,""crash in io"",""critical""";;
"34044,""top daily talkback crash in nsXBLService::LoadBindings"",""critical""";;
"29858,""File type of */* crashes Mozilla."",""critical""";;
"36883,""Toolbars too far to the left, over paint their grippies, function improperly"",""critical""";;
"32771,""jar:http:// doesn't load on Linux"",""critical""";;
"25432,""Trees built dynamically inside a div cause a hang"",""critical""";;
"14121,""MLK: load group or docloader"",""critical""";;
"32610,""UMR: nsReplacementPolicy::LoadAllRecordsInAllCacheDatabases()"",""critical""";;
"34350,""test9 crashes in pagecycler"",""critical""";;
"36323,""Crash in xpcom.dll loading URL"",""critical""";;
"35240,""[regression] cannot always open non-latin1 filename."",""critical""";;
"20794,""Crash when mousing over links"",""critical""";;
"29486,""CSS border-collapse:collapse with ROWSPAN = CRASH"",""critical""";;
"36914,""FRAMESETs ignored in utf-8 pages"",""critical""";;
"18592,""[Feature] Fix example: XPCom components cannot be used under Viewer App on Win32 Platform"",""critical""";;
"27311,""[PP]html text does not print with character styles as seen on screen"",""critical""";;
"924,""Crash after loading PNG test icon suite"",""critical""";;
"16742,""Crash with scaled-down PNG with 8-bit alpha mask"",""critical""";;
"26792,""Crash on table printing"",""critical""";;
"28001,""Parsing in LDAPUrl(String url) ignores attributes"",""critical""";;
"16479,""[Dogfood] Need titledbutton with fly-out menu"",""critical""";;
"25202,""Death when clicking an article link"",""critical""";;
"31552,""Assertion in nsURILoader::Stop()"",""critical""";;
"37212,""Above URL crashes browser: Gdk-ERROR **: BadMatch (invalid parameter attributes)"",""critical""";;
"38256,""crash in nsTextBoxFrame::CalcTextSize"",""critical""";;
"31275,""After navigating in a frame (of a frameset), clicking on a link causes a crash"",""critical""";;
"37778,""browser doesn't handle simple response of HTTP protocol"",""critical""";;
"37503,""document.write meta charset in frame cause Mozilla to"",""critical""";;
"15946,""Tooltips crash Mozilla (e.g., the Open Windows in Taskbar)"",""critical""";;
"37759,""(win32) menulist in a <window align=""""vertical""""> has 0 height."",""critical""";;
"36862,""Clicking on link with unknown protocol causes crash"",""critical""";;
"38393,""[REGRESSION]Clicking on a drop down menu causes surrounding text to be selected when mouse moved"",""critical""";;
"36852,""oneclick.com crashes before any HTML is rendered"",""critical""";;
"36242,""Crash in ImageLib when a background image is applied to a textarea"",""critical""";;
"36834,""crash upon repeated png redrawing"",""critical""";;
"15189,""EventStateManager crashes when document is changed during the processing of a DOM event"",""critical""";;
"32237,""UMR: nsBoxFrame::GetBoxInfo()"",""critical""";;
"32238,""UMR: nsInlineFrame::ReflowFrames()"",""critical""";;
"36095,""Inifite loop in GetNearestContainingBlock()"",""critical""";;
"36558,""browser crashes when loading deja search results"",""critical""";;
"39617,""crash on my.netscape.com"",""critical""";;
"32341,""Crash attempting to save Javscript: url"",""critical""";;
"40186,""crash during chrome registration (early in launch)"",""critical""";;
"38422,""Content area freezes with certain <SELECT> steps"",""critical""";;
"39668,""Need a way to get a handle to postdata"",""critical""";;
"40811,""Sounds don't work on Gtk/Unix"",""critical""";;
"37071,""browser segfaults on page loading"",""critical""";;
"23611,""{css2} Absolutely positioned FIELDSET element cause app to crash"",""critical""";;
"40167,""Tasks menu on Mac has missing menu items"",""critical""";;
"39885,""Tables that contain ender-lite widgets invalidate their entire bounds when each key is entered"",""critical""";;
"29178,""cgi's/servlets that return no content status header are not handled properly."",""critical""";;
