"16905,""[4.xP] First character in text field highlights, even if nonexistent"",""trivial""";;;
"62471,""Wording in newsgroup subscription dialog"",""trivial""";;;
"51657,""layout of page doesn't look right"",""trivial""";;;
"42983,""Typos in German Bugzilla Helper Page"",""trivial""";;;
"62473,""Newsgroup-Assistent wording"",""trivial""";;;
"62864,""Wording in form manager prefs"",""trivial""";;;
"62921,""grammar in WalletPreview.properties"",""trivial""";;;
"66865,""Duplicate code in nsComponentManager"",""trivial""";;;
"66374,""information about linking to DLLs by name or by ordinal"",""trivial""";;;
"58408,""Trailing whitespace not stripped from filename being printed to"",""trivial""";;;
"52728,""typo on mozilla.org/hacking/portable-cpp.html"",""trivial""";;;
"45627,""XMLSerializer::serializeToString() doesn't recognize empty elements"",""trivial""";;;
"41753,""broken link to despot from description of despot component"",""trivial""";;;
"51210,""Inefficiency in the code (patch included)"",""trivial""";;;
"62440,""typo (number mismatch) on enter_bug.cgi: """"bugs"""", """"it"""""",""trivial""";;;
"73554,""Incorrect error message for about-cache: when entry is not found"",""trivial""";;;
"41252,""style aspects of <button> element are lost after setting disabled property"",""trivial""";;;
"56653,""Bad wording when getting any plugin"",""trivial""";;;
"74873,""Make transformiix |#include|s better"",""trivial""";;;
"70712,""cmsutil too much output in regular mode"",""trivial""";;;
"78658,""[console] string must not print to console in opt builds"",""trivial""";;;
"78668,""[console] xpconnect must not print to console in opt builds"",""trivial""";;;
"75764,""nsNativeComponentLoader::AutoRegisterComponent contains non-static array"",""trivial""";;;
"76671,""Rejecting sgml mimetypes at view source"",""trivial""";;;
"75432,""nsImageBoxFrame does lots of redundant GetShells"",""trivial""";;;
"79878,""Button """"pressed"""" state not displayed for HTML 4 BUTTON element"",""trivial""";;;
"65617,""unsecure use of new operator in nsPresShell.cpp"",""trivial""";;;
"78655,""[console] os/2 port should not print to console in opt builds"",""trivial""";;;
"78652,""[console] libutil must not print to console in opt builds"",""trivial""";;;
"82451,""Wrong comment for HTTP PR_LOG"",""trivial""";;;
"78649,""[console] libimg/libpron must not print to console in opt builds"",""trivial""";;;
"78651,""[console] Plugin module must not print to console in opt builds"",""trivial""";;;
"74089,""images are cookies?"",""trivial""";;;
"78645,""[console] gfx/gfx2 must not print to console in opt builds"",""trivial""";;;
"87994,""Download & Install Font"""" should be """"Download and Install"",""trivial""";;;
"86875,""[patch]Dead code removal in nsSimplePageSequence::StartPrint()"",""trivial""";;;
"74261,""Drag home button to home button"",""trivial""";;;
"85131,""missing comments in nsICacheSession.idl"",""trivial""";;;
"65467,""<center> Tag wrapped around <dt> </dt> <center> fails"",""trivial""";;;
"22389,""Delete key doesn't perform as expect in input boxes"",""trivial""";;;
"87544,""Spelling mistake when cancelling not-owned newsgroups msg"",""trivial""";;;
"85111,""Dialogs have rightleft pinstripe """"border"""""",""trivial""";;;
"81353,""Add getter for mAlphaDepth to nsIImage"",""trivial""";;;
"96438,""file name: and file of type: descriptions not aligned with fields in xp filepicker"",""trivial""";;;
"75250,""empty table width attribute treated as zero table width"",""trivial""";;;
"89533,""remove unused nsIReflowCommand::ReflowType values"",""trivial""";;;
"90054,""remove unncessary methods from nsIImageFrame"",""trivial""";;;
"70549,""Can't paste just spaces copied from within Mozilla"",""trivial""";;;
"79515,""uncomplete gif-file looks bad"",""trivial""";;;
"91669,""Don't use sprintf to convert int->string"",""trivial""";;;
"90774,""Up and Down should be """"Up Arrow"""" and """"Down Arrow"""""",""trivial""";;;
"98484,""""""Ciphern bearbeiten"""""",""trivial""";;;
"94135,""nsPrefBranch::SetComplexValue : rv may be returned uninitialized."",""trivial""";;;
"59895,""Select image dialog has wrong title"",""trivial""";;;
"24052,""Save/Saving switches on the execute bit."",""trivial""";;;
"324,""explicit casts needed in EditorFrame.cpp"",""trivial""";;;
"334,""ANSI disallows enum casts - make explicit in EditorView.cpp"",""trivial""";;;
"15021,""Page Up and Page Down keys move URL in Location: up and down"",""trivial""";;;
"43764,""""""More Properties"""" sizing problems"",""trivial""";;;
"43768,""Composer editing popup menu behaves weird"",""trivial""";;;
"69547,""[Plaintext]menubar list does not get hidden when toolbar is clicked"",""trivial""";;;
"74984,""Export's """"x"""" accesskey conflicts with Exit"",""trivial""";;;
"78406,""Format menu accelerators display """"Shift"""" then """"Ctrl"""""",""trivial""";;;
"93322,""right click selects entire text in a cell."",""trivial""";;;
"51591,""changing a list style results in entire list getting selected"",""trivial""";;;
"9371,""Publish button needs to be removed/implemented"",""trivial""";;;
"73775,""Editor toolbar should use toolbarseparator not spring"",""trivial""";;;
"78663,""[console] qt port should not print to console in opt builds"",""trivial""";;;
"64807,""Textfield with Multiline inserts a scroll bar."",""trivial""";;;
"92387,""Property and value not aligned correctly in Cookie Manager"",""trivial""";;;
"96162,""""""In PKCS11SecureRandom constructor"""" println"",""trivial""";;;
"92563,""Bad comment in nsIInputStream?"",""trivial""";;;
"102294,""printf has an extra parameter"",""trivial""";;;
"91071,""""""HyperText Transfer Protocol"""" should be """"Hypertext Transfer Protocol"""""",""trivial""";;;
"94141,""modules/libimg/src/if.cpp : IL_StreamWrite return value undefined if len==0."",""trivial""";;;
"91904,""No call to FlashWindow( hwnd, FALSE )"",""trivial""";;;
"104460,""rounded corner (right, up) of rectangle drawn wrong"",""trivial""";;;
"71596,""Image layout incorrect"",""trivial""";;;
"100323,""duplicate colors in color picker"",""trivial""";;;
"81495,""content/xsl/document/ generates layout.xpt"",""trivial""";;;
"92414,""Test page cannot be displayed with IE5-MSXML3"",""trivial""";;;
"105245,""Typo in printing.properties"",""trivial""";;;
"101694,""Einstellungen: Offline&Speicherplatz Frgaen"",""trivial""";;;
"101289,""""""Canceling"""" the print dialog fires-up a print error dialog"",""trivial""";;;
"81132,""Last cleanup of #define VIEW_SOURCE_HTML"",""trivial""";;;
"71597,""<other:stylesheet src=""""""""/> works too..."",""trivial""";;;
"109389,""Rename the PLEventQueue event receiver window class."",""trivial""";;;
"67768,""Composer: Active edit mode tab should not use hardcoded white color"",""trivial""";;;
"108872,""Stop linking to MacMozillaFullInstaller.sea.bin in latest/"",""trivial""";;;
"95264,""Incorrect smime perl script usage for message decoding"",""trivial""";;;
"94375,"" -O3 build will open the window but segv [WAS: gcc3 -O3 Garbage characters in time on status bar.]"",""trivial""";;;
"78648,""[console] intl must not print to console in opt builds"",""trivial""";;;
"90867,""Text width estimation should be <= instead of <"",""trivial""";;;
"78662,""[console] mac widgets & rhapsody timer should not print to console in opt build"",""trivial""";;;
"114517,""extra newline rendered between tables (regression?)"",""trivial""";;;
"110080,""change !NS_SUCCEEDED(status) to NS_FAILED(status)"",""trivial""";;;
"113865,""Option """"neu laden"""" in den Einstellungen nicht vorhanden"",""trivial""";;;
"113878,""falsche Grammatik: Mozilla warnt """"über"""" den Status"",""trivial""";;;
"113882,""inkonsistente Übersetzung von """"Themes"""""",""trivial""";;;
"118389,""Rechtschreibfehler im Datei-Menü"",""trivial""";;;
"113875,""Wortwiederholung in Einstellungen Erscheinungsbild - Inhaltspakete"",""trivial""";;;
"59667,""Occurances of uninitialized variables being used before being set."",""trivial""";;;
"90039,""table cell entry text overlaps frame border"",""trivial""";;;
"58673,""ecma conformance: Date.p.toUTCString != Date.p.toGMTString"",""trivial""";;;
"94567,""Avoid js_strlen() call in js_NewStringCopyZ()"",""trivial""";;;
"9241,""js/src/jscpucfg.c compile-time warnings"",""trivial""";;;
"6239,""Tests fail if run outside PST8PDT"",""trivial""";;;
"38512,""monkey throws EvalError instead of TypeError on o.eval()"",""trivial""";;;
"57187,""reordering pointer assignment"",""trivial""";;;
"94580,""speedup JS_strdup() ?"",""trivial""";;;
"102159,""date_format ignores return value of PRMJ_FormatTime"",""trivial""";;;
"41187,""add duplicate sound icon image with '-sound' file extension."",""trivial""";;;
"51844,""about:blank is invalid"",""trivial""";;;
"120766,""""""radio-check"""" should not inherit=""""checked"""""",""trivial""";;;
"118635,""Sammelbug für Fehler in den dt. Release-Notes für 0.9.7"",""trivial""";;;
"124854,""Typo in printProgress.dtd->printComplete"",""trivial""";;;
"104692,""Edit field line break didn't updated"",""trivial""";;;
"114208,""last all.js checkin has bad useragent.override"",""trivial""";;;
"104859,""temp files should be cached in OS's """"temp"""" directory not """"plugtmp"""""",""trivial""";;;
"91076,""""""Hyper Text Markup Language"""" should be """"HyperText Markup Language"""""",""trivial""";;;
"111606,""[FIX]Want black combo box arrow"",""trivial""";;;
"115461,""Remove Shockwave hack from ns4xPluginInstance.cpp"",""trivial""";;;
"95986,""remove references to nsImageManager"",""trivial""";;;
"107821,""""""Privatsphäre und Sicherheit"""" besser als """"Geheimhaltung und Sicherheit"""""",""trivial""";;;
"113876,""Fenster zu klein unter (Einstellungen - Navigator - Smart Browsing)"",""trivial""";;;
"116298,""Schreibfehler in Statuszeile im Newsreader"",""trivial""";;;
"118391,""Rechtschreibfehler beim Tabbed Browsing"",""trivial""";;;
"117694,""Schreibfehler Webseitze"",""trivial""";;;
"116471,""Rechtschreibfehler im Quicktipp für URL-Bar"",""trivial""";;;
"116300,""Dialogbox für das Herunterladen von Nachrichten ist zu klein"",""trivial""";;;
"126413,""In dialog for new sidebar variable is shown"",""trivial""";;;
"47012,""en-DE = English (German) locale???"",""trivial""";;;
"9596,""[PP]Electric fence mod for mozilla/xpcom/typelib/xpt/tools/xpt_link"",""trivial""";;;
"128767,""Typo in WYSIWYM examples"",""trivial""";;;
"127270,""ASSERTION: QueryInterface needed: 'query_result.get() == mRawPtr'"",""trivial""";;;
"126637,""PR_USPacificTimeParameters uses """"std"""" as internal variable name"",""trivial""";;;
"131580,""typo in msgSecurityInfo.properties"",""trivial""";;;
"107323,""Compiler warnings: Unused Variable"",""trivial""";;;
"137302,""Fix some typos in nsIFrame documentation"",""trivial""";;;
"137103,""browser.block.target_new_window listed twice in all.js"",""trivial""";;;
"134791,""drop menu at top left-hand side not displayed properly"",""trivial""";;;
"139343,""Clean up build warnings in nsComputedDOMStyle, nsROCSSPrimitiveValue"",""trivial""";;;
"16928,""Cursor not changed properly over scrollbars in Linux."",""trivial""";;;
"141552,""Preferences should not generate build warnings"",""trivial""";;;
"140204,""HTTP preferences have weird checkbox handling"",""trivial""";;;
"137297,""Alphabetize queryableProperties"",""trivial""";;;
"139692,""Rechtschreibfehler in Bestaetigungsdialog"",""trivial""";;;
"121502,""1-pixel blur at bottom of pictures"",""trivial""";;;
"89065,""text-decoration:blink not working"",""trivial""";;;
"143993,""[gtk2] toolkit-gtk2 does not compile with --disable-accessibility"",""trivial""";;;
"143991,""[gtk2] nsWidgetFactory.cpp does not compile"",""trivial""";;;
"144448,""CKFW incorrectly uses ## operator to create cryptoki entry points"",""trivial""";;;
"126822,""F11 restore from full screen doesn't restore window borders snugly"",""trivial""";;;
"92426,""Extra auto generated content for 'fieldset' and 'legend' elements using pseudo elements :before and :after"",""trivial""";;;
"68651,""streamConverter should use NS_LITERAL_STRING"",""trivial""";;;
"150653,""Fix comment: description of nsHTMLEntities::UnicodeToEntity()"",""trivial""";;;
"118522,""Verschiedene Tippfehler"",""trivial""";;;
"126415,""Text in search info is not translated"",""trivial""";;;
"131735,""Rechtschreibfehler bei Master-Passwörtern"",""trivial""";;;
"131737,""Rechtschreibfehler im Zertifikat-Manager"",""trivial""";;;
"132984,""Fehler im Dialog für abgelaufene Zertifikate"",""trivial""";;;
"133097,""Sachlicher Fehler im Account-Assistent für News"",""trivial""";;;
"133699,""Schaltfläche zu klein"",""trivial""";;;
"139710,""Mail: Zitat hat zwei Doppelpunkte"",""trivial""";;;
"139747,""Tippfehler """"Eistellungen"""" im Einstellungen Dialogfeld"",""trivial""";;;
"139750,""""""...Schutz Ihrer Daten missachten..."""" - gutes Deutsch?"",""trivial""";;;
"140264,""Änderung von Formulierungen in Mail und News-Einstellungen"",""trivial""";;;
"139753,""""""Installtion"""" - Tippfehler"",""trivial""";;;
"142435,""Kleiner Fehler"",""trivial""";;;
"143245,""Bezeichnung des SMTP-Servers als Server für _eingehende_ Mail im ersten Dialog des Account-Setups"",""trivial""";;;
"155938,""Problems with table cells alignment"",""trivial""";;;
"139694,""Rechtschreibfehler im Subject der Empfangsbestätigung"",""trivial""";;;
"153045,""Tooltip bei Pfeil nach rechts hat Rechtschreibfehler (...nach vor gehen)"",""trivial""";;;
"132432,""Plug-In Dialog nicht übersetzt"",""trivial""";;;
"157946,""The Usage() function of pk12util should mention the -v option."",""trivial""";;;
"158937,""comment wrong"",""trivial""";;;
"88623,""Cleanup Transformiix code"",""trivial""";;;
"84111,""""""deafult"""" should be """"default"""" in EdImageMapShapes.js"",""trivial""";;;
"142072,""nsThread frees nsILogModule, which it doesn't own"",""trivial""";;;
"153845,""System-Standard => Systemstandard"",""trivial""";;;
"82615,""[FIX]Replace postfix operator with prefix operator"",""trivial""";;;
"166498,""nsHTTPChunkConv should be cvs removed"",""trivial""";;;
"95654,""caret appears misplaced with respect to <HR> when I hit BACKSPACE"",""trivial""";;;
"155623,""The pref css.allow isn't used and should be removed."",""trivial""";;;
"153258,""Misspelled """"Cerificate"""" in pk11_getDefTokName"",""trivial""";;;
"171422,""Missing return NULL statement in nssTrust_GetCERTCertTrustForCert, pki3hack.c"",""trivial""";;;
"171518,""Compiler warnings in xpcom/io/nsSegmentedBuffer.h"",""trivial""";;;
"131143,""Misleading error """"c is not a registered protocol"""" when accessing chome://"",""trivial""";;;
"166612,""implement NS_CopyNativeToUnicode / NS_CopyUnicodeToNative on all platforms"",""trivial""";;;
"131738,""Rechtschreibfehler beim Autovervollständigen"",""trivial""";;;
"161005,""Wording in message filter"",""trivial""";;;
"161311,""spelling mistake in chatzilla"",""trivial""";;;
"168243,""spelling mistake in the German language pack"",""trivial""";;;
"168645,""Übersetzung von privacy zu wortwörtlich"",""trivial""";;;
"168963,""Optional """"Go"""" button should not be named """"Gehe"""""",""trivial""";;;
"171492,""Kleinschreibung Fehler Mail"",""trivial""";;;
"165166,""The usual splash screen for the localized version is missing"",""trivial""";;;
"169149,""[Sicherheitseinrichtungen] inaccurate German translation of security device"",""trivial""";;;
"174482,""Use Bookmark (set Home Page) dialog should not have a question mark"",""trivial""";;;
"139968,""[FIX]Uninitialized hint setting element.style.foo = """"bar"""""",""trivial""";;;
"133354,""copyright for mozilla/xpcom/ds/nsDoubleHashtable.cpp says 1998 even though it was written in 2002"",""trivial""";;;
"166007,""Fix formatting in GIF2.cpp"",""trivial""";;;
"179038,""remove need for """"nsreg.dat"""""",""trivial""";;;
"60952,""nsMimeTypes.h has wrong type for APPLICATION_HTTP_INDEX"",""trivial""";;;
"180287,""Spelling errors in Layout_Overview.html"",""trivial""";;;
"180783,""nsDependentCString filename(PR_GetEnv(""""MOZILLA_JS_PROFILER_OUTPUT"""")) => ASSERTION: nsDependentCString must wrap a non-NULL buffer: 'aPtr'"",""trivial""";;;
"180126,""on this side, a popup  appears, in this popups, mozilla makes uncorrect line breaks"",""trivial""";;;
"174528,""Mozilla Splash-Screen shows wrong URL"",""trivial""";;;
"181699,""remove unused nsProxyAutoConfigUtils and nsIProxyAutoConfigUtils"",""trivial""";;;
"174106,""Typo?!? in Einstellungen/Navigator/Sprachen"",""trivial""";;;
"183789,""Typo error in mail component Verbundung instead of Verbindung"",""trivial""";;;
"15971,""Change bug description on http://bugzilla.mozilla.org/"",""trivial""";;;
"141618,""Test bug report -- please ignore"",""trivial""";;;
"78654,""[console] netwerk must not print to console in opt builds"",""trivial""";;;
"173426,""prefetch service should set LOAD_ONLY_IF_MODIFIED flag"",""trivial""";;;
"91968,""HTTP authentication stores rejected user/pass combos in password manager"",""trivial""";;;
"185773,""Call SetTimeout in nsGIFDecoder2, not imgContainerGIF::EndFrameDecode"",""trivial""";;;
"74720,""Want arbitrary contents for buttons"",""trivial""";;;
"92006,""when keep-alives disabled, need to send connection: close to the proxy as well as proxy-connection: close"",""trivial""";;;
"35407,""Transfer-Encoding: chunked, extra CRLF after headers -> blank page"",""trivial""";;;
"186726,""Icon protocol handler NewURI should use NS_ADDREF"",""trivial""";;;
"55111,""Wording in BasicAuth username/password dialog says """"Confirm Password"""""",""trivial""";;;
"139,""nsrpub/pr/src/md/unix.c error for BSD/OS 3.1"",""trivial""";;;
"147,""warning : ntinrval.c(77) : unreference variable count"",""trivial""";;;
"155,""warning fix : ns/nsprpub/pr/tests/join.c"",""trivial""";;;
"158,""warning fix : ns/nsprpub/pr/tests/thruput.c"",""trivial""";;;
"218,""Compile Warning"",""trivial""";;;
"73834,""workaround for Sun Forte Update 1 compiler crash building nsLDAPMessage.cpp"",""trivial""";;;
"183244,""Mail: Englischer Begriff """"the"""" im Dialog Nachrichten-Filter"",""trivial""";;;
"189394,""spelling mistake in chatzilla (at-AT)"",""trivial""";;;
"189684,""nsrootidl.idl:69: Case mismatch between `PRInt32' i:/build/mozilla/extensions/cookie/nsICookieManager2.idl:61: and `PRint32'"",""trivial""";;;
"190273,""send unencrypted data confirmation contains additional button"",""trivial""";;;
"190287,""""""das"""" anstatt """"dass"""" in den SSL Infotexten (Karte : Sicherheit)"",""trivial""";;;
"190217,""mozilla mail / tools menu / junk option - translation sounds weird"",""trivial""";;;
"179507,""Radio buttons have ugly rendering"",""trivial""";;;
"172047,""'Redo' item is missing in the context menu of text controls and urlbar"",""trivial""";;;
"191749,""bad define inside nsAFlatString.h"",""trivial""";;;
"178273,""Mis-sized file icon"",""trivial""";;;
"193824,""Remove unused globals from nsDocumentViewer.cpp"",""trivial""";;;
"190799,""xpcom/io/nsFileSpec.cpp"""", line 905: Warning: String literal converted to char* in initialization."",""trivial""";;;
"190790,""xpcom/glue/standalone/nsGREDirServiceProvider.cpp"""", line 300: Warning: String literal converted to char* in assignment."",""trivial""";;;
"191717,""`PRUint8 * array' might be used uninitialized in this function"",""trivial""";;;
"140031,""Change jstypes.h to use __declspec instead of _declspec"",""trivial""";;;
"136260,""ChromeWindow Object wrapped by XPConnect has members whose names shadow each other"",""trivial""";;;
"170062,""spelling mistake: warning message - denying imap-server"",""trivial""";;;
"190258,""spelling mistake in chatzilla: /help names"",""trivial""";;;
"190686,""chatzilla: German misspelling 'Frabcode'"",""trivial""";;;
"191673,""expired certificates - wording issue"",""trivial""";;;
"191671,""spelling mistake: email filter - warning message"",""trivial""";;;
"193368,""Compiler warning in nsSocketTransportService2.cpp"",""trivial""";;;
"136264,""HTMLCollection Object wrapped by XPConnect has members whose names shadow each other"",""trivial""";;;
"196340,""Change NS_REINTERPRET_CAST(nsIScriptContext*, JS_GetContextPrivate(cx)) to use Static Cast"",""trivial""";;;
"130968,""SEC_TraversePermCerts is referenced but not defined"",""trivial""";;;
"196284,""""""Search the open Camino bugs"""" and subsequent links still query for """"Chimera"""""",""trivial""";;;
"198127,""XML pretty print expander's should get pointer cursor"",""trivial""";;;
"186957,""Extra white zone around HR"",""trivial""";;;
"142294,""Language-Settings not applied fully"",""trivial""";;;
"165429,""wrong settings in Makefiles for LD when NS_USE_GCC=1 and MDUPDATE=1"",""trivial""";;;
"191778,""Fix minor errors in perlconnect readme"",""trivial""";;;
"117543,""x86Rel still has a """"?"""" when a CVS update is run"",""trivial""";;;
"137723,""missing ifdef in build of libraries/liblber"",""trivial""";;;
"196449,""Typo: """"invlaid divisor"""" instead of """"invalid divisor"""" in debug code"",""trivial""";;;
"196865,""Shutdown Assertion unconditionally says GRE failed when it might be XPCOM that failed"",""trivial""";;;
"201012,""get rid of offline warnings in debug builds"",""trivial""";;;
"201423,""Crash [@ nsWebShell::Create] if urildr.dll is missing"",""trivial""";;;
"193775,""midas - fontsize listed twice in gMidasCommandTable"",""trivial""";;;
"188486,""duplicate code in nsHTMLEditorMouseListener.cpp"",""trivial""";;;
"185805,""Old cursor does not disappear when skipping through letters in edit box until next character is entered"",""trivial""";;;
"201361,""Universal charset detector freq tables can be made const"",""trivial""";;;
"78474,""Dates in ftp directory listing should use locale, not ISO 8601"",""trivial""";;;
"194799,""In <nav006.html> JavaScript Testcase: 'navigator.platform' value should be checked for 'Win32' instead of 'Windows'"",""trivial""";;;
"185312,""In <frm003.html> JavaScript Testcase: 'Form.encoding' value should be checked for 'multipart/form-data' instead of 'Multipart/form-data'"",""trivial""";;;
"185313,""In <frm005.html> JavaScript Testcase: 'Form.method' value should be checked for 'post' instead of 'Post'."",""trivial""";;;
"185450,""pr_PredictNextNotifyTime in pralarm.c always returns 0 instead of delta time interval"",""trivial""";;;
"203111,""Remove unused class nsXMLExtras"",""trivial""";;;
"137802,""nsHTTPChunkConv is unused and should be removed"",""trivial""";;;
"204284,""Mozilla uses default Windows XP icons for drop down lists (XP Only!)"",""trivial""";;;
"205446,""Filename in spashos2.rc needs to be changed to MozillaFirebird"",""trivial""";;;
"204398,""about:cache : """"Inactive Storage"""" badly aligned"",""trivial""";;;
"73897,""printing dialog: """"selection"""" enables page from/to widgets"",""trivial""";;;
"206287,""things Will be re-ordered to match declaration order"",""trivial""";;;
"163955,""Header cleanup for transformiix"",""trivial""";;;
"46754,""transformiix has its own copy of expat"",""trivial""";;;
"205346,""BeOS build warnings"",""trivial""";;;
"206165,""Unused variable `PRBool aCanCacheFrameOffset' in nsCaret::GetCaretRectAndInvert"",""trivial""";;;
"206162,""unused variable `nsresult result' in nsPolicyReference::ProcessExpiryElement"",""trivial""";;;
"206163,""unused variable `nsresult rv' in nsMathMLmactionFrame::GetSelectedFrame()"",""trivial""";;;
"205622,""[ps] warning: CreateFontPS declared `static' but never defined"",""trivial""";;;
"205366,""ifdef WIN/MACOS(X) ConvertTwipsToPixels because it isn't used elsewhere"",""trivial""";;;
"205262,""warning nsSampleWordBreaker::Next was hidden by nsSemanticUnitScanner::Next"",""trivial""";;;
"205251,""warning: normalize(...) declared `static' but never defined"",""trivial""";;;
"203356,""In method `xptiInterfaceInfoManager::AddOnlyNewFilesFromFileList' warning: unused variable `PRUint32 countOfFilesInWorkingSet'"",""trivial""";;;
"205247,""warning: `JSBool ReportOutOfMemory(class XPCCallContext &)' defined but not used_"",""trivial""";;;
"205609,""control reaches end of non-void function GetSpecialSystemDirectory and lots of unhandled enumeration values"",""trivial""";;;
"204073,""more data could be const in layout"",""trivial""";;;
"203412,""Firebird misspelled in the properties window of a bookmark"",""trivial""";;;
"205347,""warning: `PRBool IsInlineNode(class nsIDOMNode *)' defined but not used"",""trivial""";;;
"204076,""Remove unused variable `PRBool sameNode' from nsHTMLEditorStyle.cpp:524"",""trivial""";;;
"182110,""Get new extensions link in preferences should be localizable"",""trivial""";;;
"203391,""InPlaceConvertLineEndings(class nsAString &)' defined but not used"",""trivial""";;;
"206926,""Do not export blapi.h, secrng.h, and pqgutil.h."",""trivial""";;;
"208548,""Inconsistency in link determination in HTMLStyleSheetImpl"",""trivial""";;;
"208561,""simple grammar error in xslt failure message"",""trivial""";;;
"161660,""Mozilla apps corrupt fonts when Windows dpi setting is changed"",""trivial""";;;
"190688,""edit message filter - description line too long"",""trivial""";;;
"210948,""Some file dialogs have harcoded filter description"",""trivial""";;;
"166131,""Second <DL> section fails to indent under very obscure circumstances"",""trivial""";;;
"212346,""nsCSSFrameConstructor.cpp:4182: warning: unused variable `class nsIView * listView'"",""trivial""";;;
"212440,""nsHTTP:2 shouldn't include traffic"",""trivial""";;;
"208405,""Pref """"Popup Windows"""" translation sounds little bit peculiar in German"",""trivial""";;;
"199054,""Typo in form data manager"",""trivial""";;;
"197893,""Typos in prefs dialog"",""trivial""";;;
"198209,""Spelling error: """"in mehr als eine Sprache verfügbar"""""",""trivial""";;;
"198210,""Spelling error: """"Wenn neuen Nachrichten eintreffen"""""",""trivial""";;;
"198211,""Translation error (at least in de_DE): """"ask about"""" -> """"fragen nach"""""",""trivial""";;;
"191660,""Rechtschreibfehler im Zertifikatsmanager"",""trivial""";;;
"192001,""Dialog um Attachments anzufügen sollte einen geänderten Titel haben"",""trivial""";;;
"199148,""Einstellungen von Chatzilla: """"Nick"""" und """"Tab"""" unverständlich"",""trivial""";;;
